Year,Semester,Subject,Catalog #,Section,Title,Class #,Intructor 1,Intructor 2,Instructor 3,Intructor 4,Intructor 5,Component,Type,Units,Requisites,Wait List,Fees,Seats Available,Days 1,Start 1,End 1,Building 1,Room 1,Days 2,Start 2,End 2,Building 2,Room 2,Days 3,Start 3,End 3,Building 3,Room 3,Days 4,Start 4,End 4,Building 4,Room 4,Days 5,Start 5,End 5,Building 5,Room 5,Session,Meets With 1,Meets With 2,Meets With 3,Meets With 4,Meets With 5,Meets With 6,Meets With 7,Meets With 8,Meets With 9
2000,Spring,AEROS,1011,001,Foundations of USAF II,,"HITZLER, RYEN S",,,,,Lecture,In Person,1.0,,No,,90,H,14:15:00,15:05:00,HPR W,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,Spring,AEROS,1011,002,Foundations of USAF II,6236,"BIRRI, TRACEY",,,,,Laboratory,In Person,--,,No,,90,H,15:10:00,17:00:00,HPR E,206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,Spring,AEROS,1111,001,Gen Mil Ldrshp Lab II,6237,"BIRRI, TRACEY",,,,,Laboratory,In Person,1.0,,No,,25,H,15:10:00,17:00:00,HPR E,206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,Spring,AEROS,2006,001,AFROTC Pt,2085,"BIRRI, TRACEY",,,,,Laboratory,In Person,1.0,,No,,100,"T,TH",06:00:00,06:50:00,HPR E,109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,Spring,AEROS,2011,001,Airpower History II,,"HITZLER, RYEN S",,,,,Lecture,In Person,1.0,,No,,93,H,13:10:00,14:00:00,HPR W,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,Spring,AEROS,2011,002,Airpower History II,6239,"BIRRI, TRACEY",,,,,Laboratory,In Person,--,,No,,93,H,15:10:00,17:00:00,HPR E,206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,Spring,AEROS,2111,001,Gen Mil Ldrshp Lab IV,6240,"BIRRI, TRACEY",,,,,Laboratory,In Person,1.0,,No,,23,H,15:10:00,17:00:00,HPR E,206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,Spring,AEROS,3000,001,AFROTC Field Training,11626,"BIRRI, TRACEY",,,,,Lecture,In Person,4.0,Yes,No,,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,Spring,AEROS,3011,001,Leadership Studies II,,"BIRRI, TRACEY",,,,,Lecture,In Person,3.0,,No,,91,H,12:30:00,15:05:00,HPR E,206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,Spring,AEROS,3011,002,Leadership Studies II,6242,"BIRRI, TRACEY",,,,,Laboratory,In Person,--,,No,,91,H,15:10:00,17:00:00,HPR E,206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,Spring,AEROS,3111,001,POC Ldrshp Lab II,8143,"BIRRI, TRACEY",,,,,Lecture,In Person,1.0,,No,,18,H,15:10:00,17:00:00,HPR E,206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,Spring,AEROS,4011,001,Ntl Security Afrs II,,"MCMULLIN, MICHAEL C",,,,,Lecture,In Person,3.0,,No,,94,H,12:30:00,15:00:00,2039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
